B2,B3,B4,B5,B6,B7
20180717-200206_41_live,A272X64FOZFYLB,0,,0.5,10
20180717-200206_41_live,A3JLE2LJ5I17E2,1,0.5,0.5,10
20180719-120436_413_live,AU7A3QNJF3O00,0,,0,10
20180719-120436_413_live,A5NE8TWS8ZV7B,1,,0,10
20180719-122534_38_live,A125KW9P18V5Z1,0,,0,11
20180719-122534_38_live,A2T007HZK66WM,1,5,0.5,11
20180719-165941_192_live,A5NE8TWS8ZV7B,0,,0,10
20180719-165941_192_live,A290OV59Q76QC8,1,50,0,10
20180719-175233_833_live,A5NE8TWS8ZV7B,0,,0,10
20180719-175233_833_live,A2GV9WSNSPX53,1,,0.05,10
20180719-181845_211_live,A2UIGDOLX5RV95,0,20,0,11
20180719-181845_211_live,A5NE8TWS8ZV7B,1,20,0,11
20180719-182453_233_live,AP3L9UKTTG6D2,0,,0,10
20180719-182453_233_live,A3SGR153YCJ1XN,1,10,0,10
20180719-202443_897_live,A5NE8TWS8ZV7B,0,,0,10
20180719-202443_897_live,A27GHKQVQ0EC6F,1,1,1,10
20180719-204358_391_live,A5NE8TWS8ZV7B,0,,0,10
20180719-204358_391_live,AMH8XB95PX2NA,1,0.5,0,10
20180719-210146_172_live,A3W2TEQC53S3WW,0,,0.25,10
20180719-210146_172_live,A3PJAHAD5YO67C,1,2,0,10
20180719-211253_768_live,A5NE8TWS8ZV7B,0,,0,11
20180719-211253_768_live,A3C46LJ7P8YIO0,1,0.5,0.5,11
20180719-211301_463_live,A1T5MU5S5O2GO7,0,,0,11
20180719-211301_463_live,A286H1M66CL5ZI,1,5,0,11
20180719-211846_176_live,A2CF1L6HQ4CCC,0,,0,10
20180719-211846_176_live,A27MJOV91GA8R3,1,1.5,0,10
20180723-025150_733_live,A3774HPOUKYTX7,0,,0.2,10
20180723-025150_733_live,AVA6HLQVY2T01,1,0.2,0.2,10
20180723-031022_254_live,A2F2DDH12YU4AK,0,,0,10
20180723-031022_254_live,A3B2H4HGSP6JCF,1,5,1,10
20180723-034109_263_live,A1FTTOECAA04JO,0,,0,11
20180723-034109_263_live,A2ZHLWNAHFS71G,1,1,1,11
20180723-034654_121_live,A34SD1FM76TW98,0,,0,11
20180723-034654_121_live,A2WLTPBX05TW6D,1,1,0,11
20180723-040634_575_live,A36IYIE23IO4HE,0,,0,10
20180723-040634_575_live,AZCGSVDT79E6X,1,1.25,1.25,10
20180723-042226_724_live,AVA6HLQVY2T01,0,,0,11
20180723-042226_724_live,A1RGD548VIVY96,1,,0.5,11
20180723-042342_809_live,AEXF5EUX32U0M,0,,0,11
20180723-042342_809_live,A2UTV66F2E69A6,1,,0,11
20180723-042344_940_live,A1SJF7BZ0RXKIM,0,,0,10
20180723-042344_940_live,A35CL66BEUSJ5Z,1,0.1,0,10
20180723-042421_113_live,A321YWMP74ULKH,0,36,0.5,10
20180723-042421_113_live,A175PJR0W3LO8I,1,36,0,10
20180723-044617_32_live,A3D7JEGMSYKCUJ,0,,0,11
20180723-044617_32_live,A2QIZ31TMHU0GD,1,,0.5,11
20180723-052203_936_live,A2JBB3E2Y3LXJH,0,,0,10
20180723-052203_936_live,A2ABOMU5VUN9NG,1,1,0.5,10
20180723-055038_776_live,A1WOCD9SAYI07V,0,0.5,0,11
20180723-055038_776_live,A39GADIK8RLMVC,1,0.5,0.5,11
20180723-061928_535_live,A2LYTAQGBST6IC,0,,0,11
20180723-061928_535_live,A1TEVZP5DA1XYZ,1,125,100,11
20180723-062856_180_live,A30GPAEVFFIAIW,0,,0,11
20180723-062856_180_live,ANR2T3V039BA5,1,,0.1,11
20180723-064603_378_live,A1B5KIQ8JLR2F7,0,,0,10
20180723-064603_378_live,A11BSFO4LMHPXQ,1,,0,10
20180723-070336_48_live,A5NE8TWS8ZV7B,0,,0,10
20180723-070336_48_live,AMSAIACF91GM3,1,0,0,10
20180723-072435_196_live,A5NE8TWS8ZV7B,0,,0,10
20180723-072435_196_live,A30GPAEVFFIAIW,1,,0.01,10
20180723-073352_280_live,A3NUYAG56BPYBB,0,,0,11
20180723-073352_280_live,ANR2T3V039BA5,1,0.05,0.05,11
20180723-073908_711_live,ADIAEAPYRI8CK,0,,0,10
20180723-073908_711_live,ABFE72DCG89WW,1,0.5,0.5,10
20180723-074147_879_live,A5NE8TWS8ZV7B,0,,0,10
20180723-074147_879_live,A30GPAEVFFIAIW,1,0.005,0,10
20180723-075339_567_live,ANR2T3V039BA5,0,,0,10
20180723-075339_567_live,ARZV0T1MCI22L,1,0.2,0,10
20180723-080158_200_live,A5NE8TWS8ZV7B,0,,0,10
20180723-080158_200_live,A002160837SWJFPIAI7L7,1,,0,10
20180723-080248_452_live,A30GPAEVFFIAIW,0,,0,10
20180723-080248_452_live,ANR2T3V039BA5,1,,0.01,10
20180723-082451_335_live,A1LB9JOMFQ1UMG,0,,0,10
20180723-082451_335_live,A5NE8TWS8ZV7B,1,0.5,0,10
20180723-091102_738_live,A3DM7UHHDWBK9L,0,,0,11
20180723-091102_738_live,ANR2T3V039BA5,1,,0,11
20180723-091419_371_live,A3TUCOUVSP9ZGY,0,,0,10
20180723-091419_371_live,A1JRP3B1LNXJRP,1,,0.25,10
20180723-091508_49_live,A1BEBN58T1E0TH,0,,0,10
20180723-091508_49_live,APMGE1034C1LB,1,0.1,0,10
20180723-093509_578_live,A2ONILC0LZKG6Y,0,,1,11
20180723-093509_578_live,A1D1FOC2R5250C,1,1,1,11
20180723-094242_630_live,ANR2T3V039BA5,0,,0,10
20180723-094242_630_live,A2I4A4WGWII18Z,1,,1,10
20180723-100140_767_live,A3P1RCXKFG0NH3,0,,0,10
20180723-100140_767_live,A1JDE05XZK1E33,1,1,0,10
20180723-100855_385_live,A1DZ35VWU9HSB4,0,,0,10
20180723-100855_385_live,A2K05RWEOSTCAJ,1,,0,10
20180723-101530_805_live,A5NE8TWS8ZV7B,0,,0,10
20180723-101530_805_live,A3M0C5D28CCZCJ,1,0.5,0.5,10
20180723-103902_895_live,A2EPBSY0VPI38S,0,,0.25,11
20180723-103902_895_live,A5NE8TWS8ZV7B,1,0.5,0,11
20180723-105210_403_live,A3UPZ88FI1EJC,0,10,0,10
20180723-105210_403_live,AMPMTF5IAAMK8,1,10,0,10
20180723-112016_503_live,A2F1JTU06CO6VD,0,,0,10
20180723-112016_503_live,A16LLDMUV2OKM,1,0.01,0.01,10
20180723-113128_856_live,A24LUXW1DB1QI5,0,,0,11
20180723-113128_856_live,A1HUWK2J3GF1OY,1,,2,11
20180723-113700_19_live,A6IFXOBCV436G,0,,1,11
20180723-113700_19_live,A31BFQ3V5CLBGH,1,1,1,11
20180723-114415_254_live,AG7C4X3WKKBV,0,,0,10
20180723-114415_254_live,AJ204D5LUWTVY,1,100,0.1,10
20180723-120746_371_live,A2653BIPJKEMRK,0,,10,10
20180723-120746_371_live,A9HVP2MLUH38A,1,,0,10
20180723-121545_265_live,A13UY6H25XM3UW,0,,0.25,11
20180723-121545_265_live,A5NE8TWS8ZV7B,1,0.25,0,11
20180723-122005_335_live,AYSG3J2U3UF1Y,0,,0,10
20180723-122005_335_live,A2H85UOGW31OWJ,1,,0,10
20180808-001810_178_live,A03172343NB8PHOPICC1,0,,0.05,10
20180808-001810_178_live,A1XXI7APKCOIP3,1,0,0,10
20180808-004203_194_live,A37CO0N1KC1CDW,0,,0,11
20180808-004203_194_live,A1XATJA7ENOGWB,1,,0,11
20180808-011341_389_live,A295P5SW3N83P6,0,0.5,0.1,15
20180808-011341_389_live,A2EY6JJYF5RER5,1,0.5,0.5,15
20180808-011921_673_live,A1RGD548VIVY96,0,0,0.5,10
20180808-011921_673_live,A2O2Q0LVWOWJ1G,1,0,1,10
20180808-013755_350_live,AM0QVBV8L6QCJ,0,,0,11
20180808-013755_350_live,AZACVX0Q4KUKJ,1,1,2,11
20180808-015530_429_live,A1B6EGCM2DNDPC,0,,0.05,10
20180808-015530_429_live,AKJ22H1NTVIQX,1,0.6,0.6,10
20180808-020257_457_live,A1RGD548VIVY96,0,,0.5,10
20180808-020257_457_live,A258DUZQTRIEK0,1,,1,10
20180808-021732_428_live,AGRKG3YT3KMD8,0,,0,10
20180808-021732_428_live,A2MM10557W7PLD,1,20,0,10
20180808-022005_838_live,A1P1ZHZTQCHGEX,0,,0.05,10
20180808-022005_838_live,A2FUF8Z8WCFAR2,1,0.5,0,10
20180808-022730_384_live,AECQ7QG4CQP69,0,2,0,11
20180808-022730_384_live,AXP8EG22MPZY8,1,,0,11
20180808-024552_152_live,A2MM10557W7PLD,0,,0,11
20180808-024552_152_live,AS7ZK30LXDC46,1,,0,11
20180808-030338_328_live,A3U8PLWZQUK09D,0,,0,11
20180808-030338_328_live,A2MM10557W7PLD,1,,0,11
20180808-030454_242_live,A1RGD548VIVY96,0,,0.5,11
20180808-030454_242_live,A1AWYRBFQ7ONU2,1,,0.25,11
20180808-032041_562_live,AIX1EB7WS8F0R,0,0.05,0.05,10
20180808-032041_562_live,A1WKF2VH7TV0H2,1,0.05,0,10
20180808-032124_114_live,A2LV5432PV1S39,0,,0,10
20180808-032124_114_live,A1BJK18PJNW02Q,1,0,0,10
20180808-032354_369_live,A20EYMR2QEL2B1,0,2,0,11
20180808-032354_369_live,A2MM10557W7PLD,1,,0,11
20180808-032545_201_live,A26FIQ42LD6QIO,0,,0,10
20180808-032545_201_live,A1IDRRDSKK354F,1,,0,10
20180808-033451_555_live,A2MM10557W7PLD,0,0.85,0,10
20180808-033451_555_live,AFJDVJMLZ6P3D,1,0.85,0.5,10
20180808-034352_717_live,A3RGC0P0GID8KU,0,,0,10
20180808-034352_717_live,A17DXR1QC8GWL8,1,0.1,0.1,10
20180808-034448_815_live,A2NBK7KGJ5LVIV,0,,0,11
20180808-034448_815_live,A1TYMXIYUUUL6F,1,,0,11
20180808-035431_488_live,A1RGD548VIVY96,0,,0.5,10
20180808-035431_488_live,A109CH3492UU42,1,,0.1,10
20180808-035715_390_live,AQNM5R2NMGTG6,0,,0,10
20180808-035715_390_live,A33921T4I2XIRS,1,2,0,10
20180808-040435_931_live,AEWT71858NL5V,0,,0,11
20180808-040435_931_live,A2MM10557W7PLD,1,0,0,11
20180808-042339_620_live,A1ZRAXU8G2ORCF,0,,0,10
20180808-042339_620_live,A2MM10557W7PLD,1,10000,0,10
20180808-043445_804_live,A1RGD548VIVY96,0,,0.5,11
20180808-043445_804_live,A1V5VJE32G7HDE,1,,0.5,11
20180808-050533_601_live,A1YBX7P5PY8LL,0,,0,11
20180808-050533_601_live,A3095ABT1L25QK,1,0,0,11
20180808-052501_689_live,A1RK0C8N3ABXFY,0,,0,10
20180808-052501_689_live,AXLXMWIAM09FJ,1,10,10,10
20180808-062753_12_live,A1K0S514CEY1UG,0,,0,10
20180808-062753_12_live,A2V3JF5LEL7L7U,1,1.15,0,10
20180808-063034_444_live,A08663392NYK5WHK2M2M8,0,,0,10
20180808-063034_444_live,AHJY77ODGYJ69,1,,0,10
20180808-064212_144_live,A3J60DY0UM6A0C,0,,0.5,10
20180808-064212_144_live,A3G2JDGJCXCWVD,1,0.5,0,10
20180808-064649_236_live,A26FIQ42LD6QIO,0,50,0,10
20180808-064649_236_live,A3V41I0XH4FF8I,1,100,0,10
20180808-065307_529_live,ADQEDEGVPG7R,0,,0,10
20180808-065307_529_live,A11BSFO4LMHPXQ,1,,0,10
20180808-070517_921_live,A88IDP4W0BJ7P,0,,1,10
20180808-070517_921_live,A2M1V815WQXHF3,1,2,2,10
20180808-074917_388_live,A28X02I7Q5J48B,0,,0.1,12
20180808-074917_388_live,A9ZCY6FLUCIU1,1,0.1,0,12
20180808-075748_956_live,A1ZLLV6DOKMLRO,0,0.5,0,10
20180808-075748_956_live,A1T208Y507O4RS,1,0.5,0,10
20180808-075816_12_live,AEDJXOPWQULR4,0,,0.1,11
20180808-075816_12_live,A27CB6JIC5MZFR,1,0.5,0,11
20180808-081317_142_live,A1C7UV2UT2S9T7,0,,0,11
20180808-081317_142_live,A16KMPWYUZO0M6,1,1,0,11
20180823-020508_596_live,A1IJ86B8ZRKXBI,0,0.3,0,10
20180823-020508_596_live,AIZ4C8S4DW2WG,1,0.1,0,10
20180824-015242_301_live,A1C7XI68SED8JE,0,,0,11
20180824-015242_301_live,ANMD34DNHLOLC,1,,0,11
20180824-020419_695_live,A3CIWKPD7Y6NFG,0,,1,11
20180824-020419_695_live,A38F0VBX8VV3HI,1,0.85,0.85,11
20180824-022557_24_live,A2VR0KBCWPY8E1,0,,0,10
20180824-022557_24_live,AMYURTQIMAC8T,1,,0,10
20180824-022709_450_live,A3R6BNORPGQ7I1,0,,0,10
20180824-022709_450_live,A1GH0YCDQFS07G,1,,0,10
20180824-023730_85_live,A249LDVPG27XCE,0,,0,10
20180824-023730_85_live,AKC7CAVN6QS52,1,,0,10
20180824-031232_169_live,AY6KUWT4PBW0X,0,,0.1,10
20180824-031232_169_live,A3774HPOUKYTX7,1,0.2,0.02,10
20180824-120314_637_live,A27F76XB3KS0W2,0,,0.2,10
20180824-120314_637_live,A35P2RX8HKZM96,1,,0.15,10
20180824-120504_474_live,AMYURTQIMAC8T,0,,0,10
20180824-120504_474_live,A1T208Y507O4RS,1,,0,10
20180824-121026_498_live,A3BXN82OU9E4RW,0,,0,10
20180824-121026_498_live,APPND34J4EDS3,1,1.25,0,10
20180824-130121_505_live,A25Q1FKANAEYNH,0,,0.25,
20180824-130121_505_live,ASA8VDVY04TF0,1,,0.5,10
20180825-042845_49_live,A2UDVTFUNNM5TB,0,0.3,0.3,10
20180825-042845_49_live,A76YXASD7CTAH,1,0.3,0.3,10
20180825-043229_970_live,A345RMXKPKS5AD,0,,0.05,10
20180825-043229_970_live,A3RX72PACI0RG4,1,20,0,10
20180825-043341_782_live,A2DNCU1H95HCBS,0,,0,10
20180825-043341_782_live,A3MJSYSWX0Q4WQ,1,10,0.1,10
20180825-043516_619_live,A1EJ4HA4K85PBJ,0,,0,11
20180825-043516_619_live,ALML8V38FDV0,1,0.01,0,11
20180825-044048_639_live,AECQ7QG4CQP69,0,,0,10
20180825-044048_639_live,A2RUAB5F9GM1KP,1,0.3,0.05,10
20180825-044252_786_live,A1X2NKYJNHB1A5,0,,0,11
20180825-044252_786_live,AZIAQJWXTSFUX,1,0.05,0.05,11
20180825-044358_663_live,A3W24F76RRCOHU,0,,0.13,10
20180825-044358_663_live,AWZCVOUD0LPT,1,1,0,10
20180825-044613_233_live,A3PL7JEMIPFHI9,0,,0.5,11
20180825-044613_233_live,A3IQ7EGSSQF1AA,1,0.5,0.5,11
20180825-045559_409_live,A2QGMIC2DQ6KCN,0,,0,10
20180825-045559_409_live,AQNM5R2NMGTG6,1,,0,10
20180825-050306_247_live,A59M0SG4W43C6,0,,0.5,10
20180825-050306_247_live,A3T006544GOT26,1,20,0,10
20180825-051212_932_live,A11DLGQTOOSIWR,0,,0.3,10
20180825-051212_932_live,A2S79QOZ37NG2B,1,5,7,10
20180825-052611_640_live,A1PVWZ8ZYJHCOJ,0,,0,10
20180825-052611_640_live,A3AZVUQE7NIVRX,1,0,0,10
20180825-053544_897_live,A2UD55WYGQHGAT,0,,0.3,10
20180825-053544_897_live,A1QJX8U3IIL5XQ,1,,0,10
20180825-053711_81_live,ANMD34DNHLOLC,0,,0,11
20180825-053711_81_live,A1WMOJNU4FFQY8,1,0.01,1,11
20180825-054948_621_live,A59M0SG4W43C6,0,,0,10
20180825-054948_621_live,A3MANTSVBTWJ2B,1,0,0.3,10
20180825-055034_34_live,AC0M3MHHYUIYI,0,,0,11
20180825-055034_34_live,APXMWCW8VUJZ8,1,,0,11
20180825-055321_232_live,A2EFO6X8SCDLFL,0,10,0.1,11
20180825-055321_232_live,A25L985XCNESXE,1,25,0.1,11
20180825-055427_625_live,A163IXTTEZCCJ6,0,0.3,0,10
20180825-055427_625_live,A1B84JJ7ATWVJA,1,0.3,0.3,10
20180825-060212_445_live,A10G3CUJ1XUTB,0,,0.5,10
20180825-060212_445_live,A1IL81UMEC9OJI,1,,0.1,10
20180825-060251_387_live,A1HBIE5LRTQK1L,0,,0,10
20180825-060251_387_live,AI2LRSALOOKKU,1,0.15,0.15,10
20180825-060648_863_live,A2QBSHKTRY2831,0,,0,10
20180825-060648_863_live,ANKDLLQHHM2OH,1,2,2,10
20180825-061105_792_live,A2L5J9XWM1ODIL,0,0.15,0,10
20180825-061105_792_live,A31JM9RECQGYEX,1,0.15,0.15,10
20180825-062128_451_live,A1XATJA7ENOGWB,0,,0,10
20180825-062128_451_live,ARQ8PXKYRL90Q,1,1,0.5,10
20180825-062219_874_live,AY52II1OC5RZ1,0,,0,10
20180825-062219_874_live,A3OI216PJT396K,1,0,0,10
20180825-063009_943_live,A2LTOS0AZ3B28A,0,,0.3,10
20180825-063009_943_live,A33ULYULNG7D67,1,,0,10
20180825-063117_677_live,AS2MFSWNC5CQI,0,10,0,10
20180825-063117_677_live,A381W4J8VWN442,1,100,0.2,10
20180825-064001_264_live,A34L4JED8UAIXC,0,,0.2,11
20180825-064001_264_live,A1Y82LKWQQP90M,1,0.2,0.2,11
20180825-064038_102_live,A2A3X2W4YS9X8A,0,,0,10
20180825-064038_102_live,A3P57IUDHUKNCE,1,0,0,10
20180825-064811_939_live,A2KYK4S275LZO6,0,,0.2,10
20180825-064811_939_live,A33OCPETN5JEZV,1,0.05,0.05,10
20180825-064838_945_live,A161AJDHLJVCLZ,0,,0,10
20180825-064838_945_live,A1D4C4NYRWMTRQ,1,20,0,10
20180825-065106_23_live,AV3LN2EMUI4LG,0,,0,10
20180825-065106_23_live,A1H1TKK54YG94Q,1,5,0.1,10
20180825-065411_526_live,A15K979G6R0ZH6,0,0.1,0.1,10
20180825-065411_526_live,AUCH5GZGSSF8E,1,0.1,0.1,10
20180825-070515_947_live,A1FVCMGXK85014,0,,0.05,10
20180825-070515_947_live,A2TKHXY755FAM,1,,0.25,10
20180825-070857_925_live,A20AA69MT84CKP,0,,0,11
20180825-070857_925_live,A12723JDRPT207,1,0.3,0,11
20180825-070900_49_live,A25L985XCNESXE,0,,0.25,10
20180825-070900_49_live,A2C6HMH2FDM2CI,1,10,0.25,10
20180825-071316_761_live,A21Y7K669KM1PR,0,,0.1,10
20180825-071316_761_live,AVN1RGGP00USR,1,20,0,10
20180825-071459_643_live,A4DPIHCSWDEOU,0,,0,10
20180825-071459_643_live,A2IZ9FXMOW9LVQ,1,0.15,0.15,10
20180825-071727_819_live,ALRBI7LQ4WCL,0,,0.15,10
20180825-071727_819_live,A3BMIBDHO8NPOJ,1,0.15,0.15,10
20180825-073559_995_live,A2XZ1603CBMWUE,0,,0.3,10
20180825-073559_995_live,A1CHC8M7CWC254,1,1,0,10
20180825-073629_433_live,A2BRZKFG6WAVER,0,,0.1,10
20180825-073629_433_live,A37533SGF100SL,1,0.05,0,10
20180825-073813_141_live,A3E6ZHAKWMK0RW,0,,0,10
20180825-073813_141_live,A1XTMUBVXAEWBQ,1,1,0,10
20180825-074318_984_live,A3SHOJPXWNTFXZ,0,,0,10
20180825-074318_984_live,AY31F9HRH93H5,1,0.3,0.3,10
20180825-075451_984_live,A98E8M4QLI9RS,0,,0.1,10
20180825-075451_984_live,A2UA3QR3EUAT9K,1,0.1,0.1,10
20180825-075611_866_live,A33M856WO68SWS,0,,0,10
20180825-075611_866_live,A3O4VPJT4GOBMB,1,0.05,0.05,10
20180825-075627_48_live,AZIAQJWXTSFUX,0,,0,10
20180825-075627_48_live,A3A0PBRVBY8M9J,1,0,0,10
20180825-075630_493_live,AH0OMQP35UPYL,0,,0.05,10
20180825-075630_493_live,A1KXYURHCYHKOL,1,1,1,10
20180825-075647_663_live,A325U72J005UAJ,0,,0.01,11
20180825-075647_663_live,A3CHSKOAWR1DVA,1,5,0,11
20180825-075658_709_live,A37533SGF100SL,0,,0,11
20180825-075658_709_live,AKM6CK7MY7LOE,1,10,0,11
