B2,B3,B4,B5,B6,B7
20180825-075844_569_live,A2H9FMJIC40XBI,0,0.25,0.25,11
20180825-075844_569_live,A2DX6QJ6ZRE1GC,1,0.25,0.25,11
20180825-075913_208_live,AEGY4PZBV74AF,0,,0,11
20180825-075913_208_live,A12723JDRPT207,1,1.2,0,11
20180825-080131_220_live,A1L8QPHQ2FAH0W,0,,0,10
20180825-080131_220_live,A3RSZN0UNN5GSC,1,0.15,0.15,10
20180825-080436_824_live,AL7UTA8J27TFK,0,10,10,11
20180825-080436_824_live,A2XAES9UJ78XAG,1,10,10,11
20180825-080802_964_live,A1T6TPNU64ZH9F,0,,0.15,11
20180825-080802_964_live,A120PN22KW0VPY,1,1,1,11
20180825-081402_621_live,A2BRZKFG6WAVER,0,,0,10
20180825-081402_621_live,A24WVG86YLB7QK,1,0.3,0.3,10
20180825-081502_364_live,AH0OMQP35UPYL,0,,0.05,11
20180825-081502_364_live,A37533SGF100SL,1,0.05,0,11
20180825-081859_875_live,A187TVDEUXMNFJ,0,,0.01,10
20180825-081859_875_live,A2OATZCX1YXE77,1,0.1,0.1,10
20180825-082635_438_live,AZYUCL6B0YROY,0,,0,10
20180825-082635_438_live,A1UZH3VOT4WHEF,1,,0.15,10
20180825-083430_379_live,A37533SGF100SL,0,,0,10
20180825-083430_379_live,A3CHSKOAWR1DVA,1,,0,10
20180825-083745_516_live,A1J4H2LDQOIAEL,0,,0,10
20180825-083745_516_live,AH0OMQP35UPYL,1,0.15,0.15,10
20180825-084254_215_live,A1M8NE16ROONAA,0,1,1,11
20180825-084254_215_live,A25L985XCNESXE,1,1,1,11
20180825-084657_775_live,A5ARVKMY9FVJG,0,,0.5,10
20180825-084657_775_live,A1BVEXQ684HDEP,1,0.1,0,10
20180825-085214_779_live,A37533SGF100SL,0,,0,10
20180825-085214_779_live,A3CHSKOAWR1DVA,1,5,0,10
20180825-085709_930_live,A2BRZKFG6WAVER,0,0.2,0.2,10
20180825-085709_930_live,A1FVCMGXK85014,1,0.2,0.1,10
20180825-085908_923_live,AH0OMQP35UPYL,0,0.15,0.15,11
20180825-085908_923_live,A2223XYV804AY7,1,0.15,0,11
20180825-090032_956_live,A24WVG86YLB7QK,0,,0,10
20180825-090032_956_live,A3URD2OARD89SF,1,0,0,10
20180825-090251_7_live,A25L985XCNESXE,0,,0.1,10
20180825-090251_7_live,A1BVEXQ684HDEP,1,5,0,10
20180825-090446_585_live,A26U4IKXMXT0ZA,0,,0,10
20180825-090446_585_live,A3CHSKOAWR1DVA,1,10,0,10
20180825-091558_618_live,A1FVCMGXK85014,0,,0,11
20180825-091558_618_live,A2BRZKFG6WAVER,1,,0,11
20180825-092012_333_live,A1BVEXQ684HDEP,0,,0,10
20180825-092012_333_live,A34TMWLXTWLMUL,1,,0,10
20180825-100043_534_live,A2XQVNF7ZABUQZ,0,,0.25,11
20180825-100043_534_live,A41X7MP65BTSP,1,,0.1,11
20180825-102556_172_live,A1VFRCYMWGWWCZ,0,1,1,11
20180825-102556_172_live,AIAHJVVSXGLMB,1,1,1,11
20180825-111850_152_live,A2ZWOPNOG2A5PX,0,0.25,0,11
20180825-111850_152_live,A37533SGF100SL,1,0.25,0,11
20180825-112434_860_live,APBA7ITVRAN44,0,,0.1,10
20180825-112434_860_live,A1BMZUNL98C5GL,1,0.3,0,10
20180825-112615_516_live,A1E235KE3CSO7H,0,,0,11
20180825-112615_516_live,AYTKI0O9LWEY6,1,,0,11
20180825-125810_869_live,AKZVMP0B5QHDC,0,,0,10
20180825-125810_869_live,A27CEAL8PWSAG5,1,100,0.05,10
20180825-143255_249_live,A1F2HJV6AN5JT5,0,,0,10
20180825-143255_249_live,AT19GCF2JJ38K,1,0.1,0.05,10
20180825-210735_192_live,A2K0E2OQ2KCCTD,0,,0,10
20180825-210735_192_live,A2OTN8EVA4CT4J,1,10,0.1,10
20180826-011431_343_live,A2JY56TZCEPK3J,0,,0,10
20180826-011431_343_live,ABQM9FJ6AXPCO,1,5,0,10
20180826-013036_595_live,A3TS2NCBAB9L6V,0,,0,11
20180826-013036_595_live,A8ZUM922CBH6S,1,0.15,0,11
20180826-013529_897_live,AHSXMZBNS9BPA,0,5,0,10
20180826-013529_897_live,A3KL0A3IYLPN7J,1,5,5,10
20180826-013831_953_live,A3VAAV7ZCSO7NA,0,2,1,10
20180826-013831_953_live,A3NBT0WBUQ1AJ4,1,1,1,10
20180826-020520_686_live,A2JY56TZCEPK3J,0,,0,11
20180826-020520_686_live,A2FP20UDGV3K01,1,,0,11
20180826-021724_326_live,A2O7AHH32GWNIS,0,,1,10
20180826-021724_326_live,A3KL0A3IYLPN7J,1,1,1,10
20180826-023807_40_live,A3ZWMVK6GNTJ8,0,,0,13
20180826-023807_40_live,A2U2N415A1I8QZ,1,,0.25,13
20180826-033211_245_live,A29GAVKOZCEEXL,0,,0,11
20180826-033211_245_live,A1HAOXJVRYT43K,1,,0.05,11
20180826-040651_411_live,A25DQF5YQ1UJ7R,0,,0,11
20180826-040651_411_live,A9EQ4FWCUQVBL,1,100,0.01,11
20180826-043247_456_live,A3HZ67C8YG78P3,0,,0,11
20180826-043247_456_live,A1MGSAVR0EKA9,1,1,0,11
20180826-044626_167_live,A10249252O9I20MRSOBVF,0,,0,11
20180826-044626_167_live,A3IQ7EGSSQF1AA,1,0.25,0,11
20180826-045748_926_live,A9EQ4FWCUQVBL,0,5,0.1,10
20180826-045748_926_live,AEZWQSTR5PSOE,1,5,0,10
20180826-052222_969_live,A167K17CLOW01U,0,,0,10
20180826-052222_969_live,A3RSZN0UNN5GSC,1,0.3,0.3,10
20180826-053811_708_live,A16QTKULP8HQ6G,0,,0,10
20180826-053811_708_live,A17SWXSZOWCC3M,1,,0.2,10
20180826-053845_531_live,A2HC9549CZAKNN,0,,0.5,11
20180826-053845_531_live,A3PE20PVSRKCLA,1,,0.3,11
20180826-054028_444_live,A25L985XCNESXE,0,1,0.1,10
20180826-054028_444_live,A9J48W1C9IZAI,1,1,1,10
20180826-054232_684_live,A224B7BAQ0MZSN,0,,0,10
20180826-054232_684_live,A1DNJ3C38BJ0MJ,1,0.2,0.2,10
20180826-054344_65_live,A2J46J3R0K0PWU,0,,1,10
20180826-054344_65_live,A1ZJT5IRZHKX8H,1,500,0,10
20180826-055352_947_live,A1VF6C9ZSW2K22,0,,0.15,11
20180826-055352_947_live,A2ZX24Z58N8YHX,1,,0,11
20180826-060201_521_live,A16QTKULP8HQ6G,0,,0.1,11
20180826-060201_521_live,A161AJDHLJVCLZ,1,10,0,11
20180826-061500_476_live,A1ROEDVMTO9Y3X,0,,0.5,11
20180826-061500_476_live,A1MJWY7UO3CDSM,1,10,0,11
20180826-061846_932_live,A1YV31LYI26TT5,0,,10,11
20180826-061846_932_live,AVKKT535QOQTM,1,,0.3,11
20180826-061949_863_live,A16QTKULP8HQ6G,0,,0.2,10
20180826-061949_863_live,A2BLP3G105MLH1,1,5,0,10
20180826-062356_655_live,A9EQ4FWCUQVBL,0,,0.1,10
20180826-062356_655_live,A1AMP9RUXAAV9K,1,,0,10
20180826-062736_188_live,ANMD34DNHLOLC,0,,0,11
20180826-062736_188_live,A2USG66RL7MM4E,1,,0,11
20180826-062755_702_live,A25L985XCNESXE,0,,0.05,10
20180826-062755_702_live,A22WWSTT8TU7G1,1,0.05,0.05,10
20180826-063853_537_live,A3PQUGIQQBPR98,0,,0,10
20180826-063853_537_live,A16QTKULP8HQ6G,1,,0.05,10
20180826-064104_677_live,A25L985XCNESXE,0,,0.05,10
20180826-064104_677_live,A3E2NEZ6M1N1DT,1,0.1,0,10
20180826-064412_288_live,A2B9EPZNDQ41GA,0,,0,10
20180826-064412_288_live,A161AJDHLJVCLZ,1,,0,10
20180826-065245_39_live,A3HZ67C8YG78P3,0,,0.5,10
20180826-065245_39_live,A2TKHXY755FAM,1,,0.1,10
20180826-070022_438_live,A16QTKULP8HQ6G,0,,0,10
20180826-070022_438_live,A22WWSTT8TU7G1,1,0.05,0.05,10
20180826-070323_186_live,A161AJDHLJVCLZ,0,,0,10
20180826-070323_186_live,A1JRP3B1LNXJRP,1,,0,10
20180826-072151_442_live,A16QTKULP8HQ6G,0,5,0,10
20180826-072151_442_live,A1FVCMGXK85014,1,5,5,10
20180826-073320_803_live,A1NOHVLPYWB0TP,0,,0.25,10
20180826-073320_803_live,A16KMPWYUZO0M6,1,20,0,10
20180826-073858_133_live,A22WWSTT8TU7G1,0,1,0.05,11
20180826-073858_133_live,A2SRC38HIJ2X19,1,0.3,0.3,11
20180826-080505_231_live,A1JMD1M91WRWGB,0,,0,10
20180826-080505_231_live,A2P065E9CYMYJL,1,0.25,0,10
20180826-082717_200_live,A2EABC3X5VMZ95,0,,0.1,10
20180826-082717_200_live,A1QEQOI98976S0,1,0.1,0.1,10
20180826-173836_197_live,A3ORNS0NYX7BQ5,0,,0.5,10
20180826-173836_197_live,A1D4C4NYRWMTRQ,1,0.5,0,10
20180826-174120_426_live,A3KL0A3IYLPN7J,0,0.15,0.15,11
20180826-174120_426_live,A1B7Y6W33FM2L8,1,0.15,0.15,11
20180826-174459_637_live,A3FPPZWMQOANR4,0,,0,10
20180826-174459_637_live,AAIQLE701DI9U,1,1,0,10
20180826-174933_275_live,A249LDVPG27XCE,0,,0,10
20180826-174933_275_live,A3QN9B9ZS1CWWM,1,,0,10
20180826-174957_757_live,A30MTVHNNST3F,0,0.2,0,11
20180826-174957_757_live,A3MAK5EFNKNO62,1,0.2,0.2,11
20180826-175233_4_live,A161AJDHLJVCLZ,0,,0,10
20180826-175233_4_live,AKKCES7R3Q53U,1,1,0,10
20180826-175345_318_live,A2DWSKGD9RNKMJ,0,,0,10
20180826-175345_318_live,A3G8IG349UQ1FU,1,,0,10
20180826-175426_937_live,A3CHSKOAWR1DVA,0,0.5,0,10
20180826-175426_937_live,A1DNJ3C38BJ0MJ,1,0.5,0.5,10
20180826-175705_624_live,A1FVCMGXK85014,0,,0,10
20180826-175705_624_live,A1D4C4NYRWMTRQ,1,0.6,0,10
20180826-175706_443_live,A1TYMXIYUUUL6F,0,,0,10
20180826-175706_443_live,A3DLO2PNUBIKID,1,0,0,10
20180826-175853_545_live,A16QTKULP8HQ6G,0,,0.01,10
20180826-175853_545_live,AEFQQ371NKQU8,1,0.1,0.1,10
20180826-180009_407_live,A3B51VO4UKOX0Y,0,,0.5,10
20180826-180009_407_live,A17VW7C10DPHR,1,0.1,0,10
20180826-180300_663_live,A6KOTWP7N7RLU,0,,0,11
20180826-180300_663_live,A2JY56TZCEPK3J,1,2,0,11
20180826-180314_928_live,A2OBW9OO2S40T3,0,0.3,0.3,10
20180826-180314_928_live,A5ZK7EFIUFBQP,1,0.2,0,10
20180826-180554_582_live,A38I33OZVPDX30,0,,0.1,11
20180826-180554_582_live,A1BVEXQ684HDEP,1,5,0,11
20180826-180631_700_live,A161AJDHLJVCLZ,0,,0,10
20180826-180631_700_live,AG1BNU31ZP490,1,0,0.15,10
20180826-181020_331_live,A1EOBT1HEM960W,0,,1,11
20180826-181020_331_live,A3CHSKOAWR1DVA,1,3,0,11
20180826-181249_805_live,A25MO8CV5PIMLM,0,,0,10
20180826-181249_805_live,A3G8OON0TDPN1E,1,0.25,0,10
20180826-181742_58_live,A1FVCMGXK85014,0,,0,11
20180826-181742_58_live,AMJBPEANFZDMH,1,20,0,11
20180826-181903_395_live,A3FPPZWMQOANR4,0,,0,10
20180826-181903_395_live,A3IB7YJHP04OHI,1,0.15,0,10
20180826-181951_904_live,A2GOJCVBYZ6H75,0,,0,10
20180826-181951_904_live,A1GE8OJYZORT4N,1,0.05,0.05,10
20180826-182047_49_live,A1D4C4NYRWMTRQ,0,,0,10
20180826-182047_49_live,A2OATZCX1YXE77,1,10,0,10
20180826-182048_519_live,ABQM9FJ6AXPCO,0,,0,11
20180826-182048_519_live,A1BHW4QNL2D9EF,1,,0,11
20180826-182522_887_live,A2VSS175DP9WM9,0,,0.05,10
20180826-182522_887_live,A2IZDQOET9SLE3,1,0.2,0.2,10
20180826-184037_209_live,APJJ1HHD2GGFS,0,0.1,0,10
20180826-184037_209_live,AQ24MDE19B8A3,1,0.1,0.1,10
20180826-184708_183_live,AV3LN2EMUI4LG,0,,0,10
20180826-184708_183_live,A2MP71UFBP05XH,1,,0,10
20180826-190151_488_live,AG1BNU31ZP490,0,,0.15,10
20180826-190151_488_live,A1DIV78LN6U2D0,1,20,0,10
20180826-192022_0_live,A2APJBWVHEFR9Q,0,,0.1,11
20180826-192022_0_live,A1FOPF17E45428,1,,0,11
20180826-193546_146_live,A3BKZ14V95ZNR6,0,,0,10
20180826-193546_146_live,A3FPPZWMQOANR4,1,25,0,10
20180826-194841_403_live,AG1BNU31ZP490,0,,0.05,11
20180826-194841_403_live,A1ELADE3LT4GF9,1,,0.3,11
20180826-203821_83_live,A3FPPZWMQOANR4,0,,0,10
20180826-203821_83_live,A3LPTQVJ1XSS4L,1,0.1,0.1,10
20180826-204907_535_live,A2XZ1603CBMWUE,0,,0,10
20180826-204907_535_live,A2W03879KN5EQ2,1,0.3,0.3,10
20180826-210609_644_live,AW9SCL2U33XET,0,,0,11
20180826-210609_644_live,A1B6EGCM2DNDPC,1,0.05,0.05,11
20180826-212714_597_live,A3FPPZWMQOANR4,0,,0,10
20180826-212714_597_live,A3TY6TIDZ7M9OF,1,0.15,0.15,10
20180826-220528_999_live,ALBORX1DBXFLC,0,,0,10
20180826-220528_999_live,A2KVQG5ACP726I,1,0.3,0.3,10
20180826-220838_141_live,A3L4JI1S352HB8,0,,0,11
20180826-220838_141_live,A3FPPZWMQOANR4,1,50,0,11
20180827-004037_444_live,A4OVCB3307414,0,,0,10
20180827-004037_444_live,ACB9BNW7MC207,1,,1,10
20180827-004200_630_live,A2MFSVLOTJ52TE,0,,0,11
20180827-004200_630_live,A3ECJAL8MQKP4G,1,10,0.3,11
20180827-021816_456_live,A2COBVXJB4QPRV,0,,0,10
20180827-021816_456_live,A2T2WRW85CB935,1,0.3,50,10
20180827-024612_480_live,A9EQ4FWCUQVBL,0,,0,10
20180827-024612_480_live,A144N9R7W4H67O,1,,0,10
20180827-025236_792_live,A2COBVXJB4QPRV,0,,0.1,10
20180827-025236_792_live,A2JYPDENMYQRZK,1,0.3,0.2,10
20180827-030633_256_live,A9EQ4FWCUQVBL,0,,0,10
20180827-030633_256_live,A30TF4DDN9MTER,1,,10,10
20180827-032231_430_live,A9EQ4FWCUQVBL,0,,0,10
20180827-032231_430_live,A16QTKULP8HQ6G,1,,0.01,10
20180827-032731_796_live,A3U8PLWZQUK09D,0,,0,10
20180827-032731_796_live,AYC8MBX0JXIQB,1,100,100,10
20180827-032811_159_live,A3V5ZWYFPIENOI,0,,0,12
20180827-032811_159_live,A1WS3FQPGZFO2G,1,25,25,12
20180827-033057_106_live,A1RGD548VIVY96,0,,1,12
20180827-033057_106_live,A1V9CCGVDKU65F,1,,0.1,12
20180827-033412_606_live,A3DLPY6ABKCXSI,0,,0.15,10
20180827-033412_606_live,A2COBVXJB4QPRV,1,0.15,0.15,10
20180827-033451_673_live,A6A21SRMUVFYP,0,,0.3,11
20180827-033451_673_live,A20BBA2Z4ONDC6,1,0.5,2,11
20180827-034056_964_live,A16QTKULP8HQ6G,0,,0.01,10
20180827-034056_964_live,A300GJOLD4FJF4,1,0,0,10
20180827-034916_910_live,A25L985XCNESXE,0,,0.05,10
20180827-034916_910_live,ABS5DWGFW9T37,1,0.3,0.3,10
20180827-035202_980_live,A3PL7JEMIPFHI9,0,,0,11
20180827-035202_980_live,A15340BRCER2UO,1,0,0,11
20180827-041027_973_live,A9EQ4FWCUQVBL,0,,0,10
20180827-041027_973_live,A2VSS175DP9WM9,1,,0,10
20180827-041028_432_live,A25L985XCNESXE,0,,0.05,10
20180827-041028_432_live,A25MO8CV5PIMLM,1,0.1,0.1,10
20180827-043632_426_live,A1WKF2VH7TV0H2,0,0.01,0,10
20180827-043632_426_live,A18KMOL67M20OT,1,0.01,0.1,10
20180827-050740_909_live,A161AJDHLJVCLZ,0,,0,10
20180827-050740_909_live,A1PVWZ8ZYJHCOJ,1,0,0,10
20180827-051440_378_live,APDJK6L7NMI2A,0,0.15,0,11
20180827-051440_378_live,A1I0IMY55Z55T9,1,0.1,0,11
20180827-053243_818_live,A9NCQ5B04J7TD,0,,0,11
20180827-053243_818_live,A3PQUGIQQBPR98,1,0,0,11
20180828-151914_101_live,A2A4EX36X0JB4R,0,,1,
20180828-151914_101_live,A1A6WVWKUO1XX,1,1,1,10
20180828-165639_960_live,A3QN9B9ZS1CWWM,0,,0,
20180828-165639_960_live,AV3LN2EMUI4LG,1,0.3,0,10
20180829-082113_449_live,A1RF078Z8U7YBL,0,,0.25,
20180829-082113_449_live,AX8RDFKYAO9BX,1,0.25,0.5,10
20180829-084042_694_live,A1KUXDQ9VECR4V,0,,0,
20180829-084042_694_live,A2EKCMS8IKV57N,1,1,0,10
20180902-215344_542_live,A1I9ZBV75AVWUS,0,,0,
20180902-215344_542_live,AG3ISFZMFGDQ9,1,2,2,10
20180902-220100_244_live,A3GO7ZO83710SF,0,,0,
20180902-220100_244_live,A1R3T5771PPSMR,1,0.5,0.5,10
20180902-222227_892_live,A1HXE4IVFL1L,0,,0,
20180902-222227_892_live,A1B7Y6W33FM2L8,1,2,2,10
20180903-094545_472_live,A1N7JIYDZQ1AR,0,,0,
20180903-094545_472_live,A1MDOWPQ04PFYB,1,,0,10
20180903-103835_253_live,A2581F7TDPAMBQ,0,,0,
20180903-103835_253_live,A29VL3MZE7YPBZ,1,,0,10
20180903-103939_512_live,A25AJ66CYVUTBR,0,,0,
20180903-103939_512_live,A18O3DEA5Z4MJD,1,0.25,0.02,10
20180903-111245_955_live,A1X6Z93V4G0Q8H,0,,0.1,
20180903-111245_955_live,A6HA3UTCN014C,1,1,1,10
20180903-132332_521_live,A2OATZCX1YXE77,0,,0,
20180903-132332_521_live,A1ICLON5I25JP2,1,0.25,0,10
20180903-134122_237_live,ADATJMIZE412Z,0,,0,
20180903-134122_237_live,AIVV4VUFFYHHN,1,,0.2,10
20180903-145436_470_live,A766NF07JPWIR,0,,0.5,
20180903-145436_470_live,A161AJDHLJVCLZ,1,,0,10
20180903-163331_887_live,A1AZ5I7YSPJCU9,0,,0.1,
20180903-163331_887_live,AJY9CIX7FW9W1,1,2,2,10
20180903-165804_344_live,A3O0QZQ4V2IXT7,0,,0,
20180903-165804_344_live,A3BL2ZEODD79AZ,1,0,0,10
20180903-224911_659_live,A1C7XI68SED8JE,0,,0,
20180903-224911_659_live,ACNHKXWKZRUZ5,1,,1,10
20180904-004818_580_live,A2JZDJPQ0JTJY9,0,,0.05,11
20180904-004818_580_live,A2CP6MLJVJYBO7,1,0.25,0.25,11
20180904-012448_306_live,A3KL0A3IYLPN7J,0,,0.1,10
20180904-012448_306_live,A3KEBJF8GGC49A,1,0.1,0.1,10
20180904-012828_299_live,AEZ57X5KVI2ZH,0,,0,10
20180904-012828_299_live,A2COBVXJB4QPRV,1,,0,10
20180904-024226_703_live,A22WWSTT8TU7G1,0,0.01,0.05,10
20180904-024226_703_live,A2JQOU78XJA6VP,1,0.05,0.05,10
20180904-025026_901_live,AISNLDPD2DFEG,0,,0,10
20180904-025026_901_live,A3PL7JEMIPFHI9,1,0.3,0.3,10
20180904-030739_178_live,AKQP8M2GR7VCL,0,,0,10
20180904-030739_178_live,A3U8PLWZQUK09D,1,,0,10
20180904-032932_423_live,A3NBT0WBUQ1AJ4,0,,1,11
20180904-032932_423_live,AA8EWR4MUGQNO,1,1,1,11
20180904-043300_214_live,A161AJDHLJVCLZ,0,,0,10
20180904-043300_214_live,A3P2LT53J1GUBG,1,,0,10
20180904-045349_715_live,A3A07QA5U733HQ,0,,0,11
20180904-045349_715_live,A25L985XCNESXE,1,0.2,0,11
20180904-073734_888_live,A37UAEDJV33QQ5,0,,1,
20180904-073734_888_live,A2ZHSCEKPMUX9Y,1,,0,10
